Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724570117696,387209,0,416739,480
1742724570130124,386939,0,416379,482
1742724570142552,386273,0,415723,485
1742724570154980,386106,0,415232,490
1742724570165051,385649,0,414944,496
1742724570168051,385686,0,414951,507
1742724570171051,385545,2,414887,489
1742724570174051,385407,0,414914,485
1742724570177051,385804,0,415271,472
1742724570180051,385868,0,415442,463
1742724570183051,385953,0,415688,485
1742724570187410,385961,0,415870,482
1742724570195838,386321,19,416099,526
1742724570204266,386330,0,415981,484
1742724570212694,386462,0,416032,472
1742724570221122,386245,0,415852,474
1742724570229550,386342,0,415850,479
1742724570237978,386511,6,415909,503
1742724570246140,386495,0,415860,493
1742724570253420,386329,0,415945,501
1742724570260700,386707,0,416212,471
1742724570267980,386725,0,416288,480
1742724570275260,386977,0,416512,487
1742724570282540,387291,0,416928,463
1742724570289820,387837,1,417474,501
1742724570297505,387660,0,417799,463
1742724570306361,388773,0,418346,498
1742724570315217,388618,0,418532,491
1742724570324073,388876,0,418855,484
1742724570332929,388747,0,418867,502
1742724570341785,388706,0,418867,485
1742724570350641,388592,0,418895,480
1742724570358972,389016,0,418931,481
1742724570365664,388913,19,419316,518
1742724570372356,388878,0,419207,481
1742724570379048,389297,0,419524,524
1742724570385740,390855,0,421251,487
1742724570392432,392076,0,422800,475
1742724570399124,393307,11,423804,517
1742724570406430,393128,0,423194,478
1742724570415538,392909,0,423232,500
1742724570424646,392008,0,422589,489
1742724570433754,391253,0,421948,473
1742724570442862,390944,0,421695,471
1742724570451970,390877,0,421657,473
1742724570461078,391939,0,423274,508
1742724570469607,394184,0,425570,519
1742724570476319,396385,0,427927,540
1742724570483031,397722,0,429385,517
1742724570489743,398495,0,430434,504
1742724570496455,398244,0,430278,508
1742724570503167,397997,3,430066,501
1742724570509879,397416,0,429717,525
1742724570516988,396760,0,429508,508
1742724570525268,396926,0,430168,499
1742724570533548,396955,0,430266,492
1742724570541828,397496,0,430852,520
1742724570550108,397966,0,431348,468
1742724570558388,398833,0,432146,489
1742724570566668,399503,0,433027,497
1742724570574990,400942,0,434566,500
1742724570583418,401995,0,435989,545
1742724570591846,402894,0,436734,524
1742724570600274,403702,0,437563,529
1742724570608702,403818,0,437860,508
1742724570617130,403684,0,437712,534
1742724570625558,403056,0,436954,530
1742724570633629,402592,0,437063,501
1742724570640629,402450,11,436557,543
1742724570647629,401439,0,435434,498
1742724570654629,400719,0,434533,498
1742724570661629,400266,0,434169,496
1742724570668629,400063,0,434130,482
1742724570675629,400112,0,434169,509
1742724570682962,400490,0,434564,529
1742724570691246,400299,10,434781,545
1742724570699530,400168,0,434933,522
1742724570707814,400185,0,434991,526
1742724570716098,400720,0,435272,530
1742724570724382,400784,0,435345,550
1742724570732666,400609,0,435318,533
1742724570740905,400574,5,435314,507
1742724570748901,400248,0,435133,537
1742724570756897,399646,0,434667,499
1742724570764893,399269,0,434382,553
1742724570772889,398874,0,433969,512
1742724570780885,399024,0,434203,486
1742724570788881,399039,0,434366,501
1742724570796684,399147,0,434493,505
1742724570803824,399199,1,434647,525
1742724570810964,399037,0,434577,494
1742724570818104,399065,0,434683,499
1742724570825244,399206,0,435003,508
1742724570832384,399192,0,435082,528
1742724570839524,399428,0,435233,533
